pos,county,state,pc_income,medhouse_inc,medfam_inc,pop,households,exp_rate
681,Brunswick,North Carolina,26839.0,46438.0,54220.0,110324.0,47600.0,0.06857704717011838
682,Marshall,Minnesota,26834.0,52198.0,65057.0,9454.0,4080.0,0.04313857079581211
683,Carson,Texas,26827.0,65026.0,73125.0,6158.0,2337.0,0.04368730106803467
684,McLeod,Minnesota,26824.0,55170.0,67968.0,36321.0,14716.0,0.0647318583576278
685,Armstrong,Texas,26823.0,61635.0,76357.0,1773.0,647.0,0.029446394512555974
686,Dallas,Texas,26816.0,49481.0,55113.0,2412481.0,858332.0,0.0859014135976643
687,Bernalillo,New Mexico,26814.0,48801.0,60740.0,667092.0,263135.0,0.07245987854152247
688,Butler,Ohio,26813.0,56610.0,69799.0,369650.0,134612.0,0.061025016994112384
689,Smith,Kansas,26811.0,45556.0,51914.0,3790.0,1726.0,0.011724388455578353
690,Niobrara,Wyoming,26797.0,38438.0,57024.0,2495.0,1045.0,0.00553272725939959
691,Blanco,Texas,26781.0,49487.0,68598.0,10562.0,4036.0,0.05528816747060944
692,Howard,Nebraska,26770.0,49088.0,65039.0,6308.0,2576.0,0.029303363550947897
693,Lincoln,Minnesota,26767.0,47861.0,63201.0,5854.0,2485.0,0.03919916959467302
694,Baldwin,Alabama,26766.0,50221.0,60864.0,187114.0,73283.0,0.07868350635944135
695,Jones,Iowa,26762.0,55041.0,64955.0,20637.0,8063.0,0.029294904858183427
696,Coweta,Georgia,26757.0,60813.0,70163.0,129397.0,46912.0,0.06072007968194216
697,St. Charles,Louisiana,26756.0,58758.0,66392.0,52627.0,18547.0,0.07420787952115315
698,Macomb,Michigan,26748.0,53451.0,66612.0,845197.0,332818.0,0.07550985151179343
699,Humboldt,Iowa,26746.0,47897.0,62143.0,9776.0,4222.0,0.049814917026500344
700,Sacramento,California,26739.0,55064.0,64154.0,1435207.0,517243.0,0.09761038111032576
701,Benton,Oregon,26738.0,48604.0,75012.0,85989.0,33384.0,0.05514549939551505
702,Glynn,Georgia,26724.0,46407.0,56221.0,80280.0,31547.0,0.059176090967968165
703,Berks,Pennsylvania,26723.0,55170.0,67138.0,412078.0,153897.0,0.07365508216941018
704,Licking,Ohio,26716.0,55114.0,67072.0,167065.0,64009.0,0.06535854282271504
705,Hamilton,Nebraska,26715.0,56065.0,61786.0,9090.0,3488.0,0.033013971343288366
706,Benton,Arkansas,26715.0,54515.0,61706.0,227439.0,82150.0,0.06964431532125034
