pos,county,state,pc_income,medhouse_inc,medfam_inc,pop,households,exp_rate,NE_dum,MW_dum,W_dum,S_dum,white_only_total,black_only_total,amer_indian_alaskanative_only_total,asian_only_total,pacisland_only_total,other_only_total,two_or_more_races_total,not_hislat_total,hislat_total,total_pop,whiteonly_pct,blackonly_pct,indianonly_pct,asianonly_pct,pacislandonly_pct,otheronly_pct,twoplusonly_pct,hislatonly_pct
1706,Adams,Wisconsin,22196.0,44897.0,51949.0,20741.0,8278.0,0.045197703297467966,0,1,0,0,18642.0,568.0,156.0,126.0,0.0,191.0,390.0,19292.0,781.0,20073.0,0.9287102077417426,0.028296716983012005,0.007771633537587804,0.006277088626513227,0.0,0.009515269267174812,0.019429083843969512,0.038907985851641506
1707,Somerset,Pennsylvania,22192.0,43597.0,54418.0,77341.0,29791.0,0.04312928426637349,1,0,0,0,71364.0,1941.0,60.0,297.0,24.0,349.0,914.0,73845.0,1104.0,74949.0,0.9521674738822399,0.025897610375055037,0.0008005443701717168,0.003962694632349998,0.0003202177480686867,0.004656499753165486,0.012194959238949152,0.01473001641115959
1708,Pike,Georgia,22191.0,53865.0,61309.0,17807.0,6140.0,0.054788369080329635,0,0,0,1,15903.0,1811.0,0.0,69.0,0.0,74.0,225.0,17803.0,279.0,18082.0,0.8794934188695941,0.10015485012719832,0.0,0.003815949563101427,0.0,0.004092467647384139,0.012443313792722044,0.015429709102975335
1709,Humphreys,Tennessee,22183.0,42846.0,54492.0,18392.0,7396.0,0.02874428066978985,0,0,0,1,17155.0,435.0,206.0,122.0,6.0,57.0,337.0,17882.0,436.0,18318.0,0.9365105360847255,0.02374713396659024,0.011245769188776067,0.006660115733158642,0.00032754667540124465,0.0031116934163118244,0.018397204935036576,0.023801725079157114
1710,Las Animas,Colorado,22180.0,42261.0,53089.0,15136.0,5992.0,0.03063596614191365,0,0,1,0,12117.0,121.0,506.0,104.0,0.0,662.0,669.0,8216.0,5963.0,14179.0,0.8545736652796388,0.008533747090768037,0.035686578743211794,0.007334790887932858,0.0,0.04668876507511108,0.04718245292333733,0.4205515198533042
1711,Lawrence,Indiana,22169.0,42627.0,52567.0,46053.0,18592.0,0.05709687819389188,0,1,0,0,44038.0,163.0,263.0,206.0,17.0,217.0,715.0,44876.0,743.0,45619.0,0.9653433876235779,0.0035730726232490848,0.005765141717266929,0.004515662333676757,0.00037265174598303337,0.00475678993401872,0.01567329402222758,0.016287073368552576
1712,Chautauqua,New York,22168.0,42429.0,52854.0,134156.0,54863.0,0.047432877013351485,1,0,0,0,119857.0,3326.0,425.0,694.0,68.0,2586.0,2700.0,120071.0,9585.0,129656.0,0.924423088788795,0.025652495835132967,0.0032779046091195164,0.005352625408773987,0.0005244647374591226,0.019945085456901337,0.020824335163818104,0.07392638983155427
1714,Boone,Arkansas,22160.0,38506.0,47585.0,37099.0,15086.0,0.0380160002023334,0,0,0,1,35843.0,156.0,290.0,192.0,36.0,11.0,760.0,36389.0,899.0,37288.0,0.9612475863548595,0.004183651576914825,0.007777301008367303,0.005149109633125939,0.0009654580562111135,0.00029500107273117354,0.020381892297790173,0.02410963312593864
1715,Clearwater,Minnesota,22157.0,43269.0,52661.0,8725.0,3586.0,0.031862993652140514,0,1,0,0,7576.0,34.0,748.0,39.0,2.0,15.0,398.0,8631.0,181.0,8812.0,0.8597367226509306,0.003858374943259192,0.08488424875170222,0.00442578302315025,0.00022696323195642307,0.001702224239673173,0.04516568315932819,0.020540172492056287
1716,Union,Georgia,22156.0,40009.0,47736.0,21399.0,9141.0,0.04860942575296664,0,0,0,1,22076.0,148.0,151.0,173.0,0.0,25.0,202.0,22047.0,728.0,22775.0,0.9693084522502744,0.006498353457738749,0.006630076838638858,0.007596048298572996,0.0,0.0010976948408342481,0.008869374313940725,0.031964873765093306
1717,McCormick,South Carolina,22150.0,40028.0,48283.0,10091.0,4069.0,0.03640401727284134,0,0,0,1,4849.0,4483.0,34.0,43.0,0.0,31.0,166.0,9543.0,63.0,9606.0,0.5047886737455757,0.4666874869872996,0.003539454507599417,0.0044763689360816155,0.0,0.0032271496981053508,0.01728086612533833,0.00655840099937539
1718,Glenn,California,22148.0,43023.0,51705.0,28054.0,9628.0,0.055135153953762464,0,0,1,0,23127.0,255.0,670.0,820.0,51.0,2416.0,558.0,16393.0,11504.0,27897.0,0.8290138724594043,0.009140767824497258,0.024016919382012402,0.029393841631716672,0.0018281535648994515,0.0866042943685701,0.02000215076889988,0.4123740904039861
1719,Anderson,Kansas,22139.0,41713.0,54962.0,8021.0,3308.0,0.07333662413363093,0,1,0,0,7567.0,45.0,166.0,1.0,0.0,0.0,73.0,7710.0,142.0,7852.0,0.9637035150280183,0.0057310239429444725,0.021141110545084055,0.00012735608762098828,0.0,0.0,0.009296994396332145,0.018084564442180335
1720,Hopkins,Kentucky,22132.0,40891.0,51596.0,46810.0,18495.0,0.05062174838082041,0,0,0,1,41081.0,2907.0,163.0,290.0,4.0,203.0,1016.0,44732.0,932.0,45664.0,0.8996364751226349,0.06366065171688857,0.003569551506657323,0.00635073580939033,8.759635599159075e-05,0.00444551506657323,0.02224947442186405,0.020409950946040645
1721,Wayne,Iowa,22127.0,40024.0,52447.0,6382.0,2589.0,0.054678330150092325,0,1,0,0,6226.0,67.0,19.0,2.0,0.0,0.0,99.0,6358.0,55.0,6413.0,0.9708404802744426,0.010447528457820054,0.0029627319507250895,0.0003118665211289568,0.0,0.0,0.015437392795883362,0.008576329331046312
1723,Lyon,Kentucky,22123.0,40112.0,55125.0,8394.0,3294.0,0.061040716476601316,0,0,0,1,7635.0,369.0,29.0,9.0,4.0,19.0,121.0,7946.0,240.0,8186.0,0.9326899584656732,0.04507696066454923,0.0035426337649645738,0.0010994380649890056,0.0004886391399951136,0.0023210359149767896,0.014781333984852187,0.029318348399706817
1724,Huron,Michigan,22120.0,40204.0,50996.0,32751.0,13907.0,0.043447852480239066,0,1,0,0,30648.0,124.0,77.0,184.0,0.0,104.0,406.0,30802.0,741.0,31543.0,0.9716260343023809,0.003931141616206449,0.002441112132644327,0.0058333069143708585,0.0,0.0032970865168183115,0.012871318517579177,0.02349174143233047
1726,Chenango,New York,22097.0,43941.0,54395.0,50121.0,19829.0,0.052386573498905874,1,0,0,0,46395.0,472.0,166.0,206.0,10.0,233.0,866.0,47310.0,1038.0,48348.0,0.9596053611317945,0.009762554810953918,0.0034334408869032846,0.004260776040373956,0.00020683378836766774,0.0048192272689666586,0.017911806072640025,0.021469347232563912
1727,Knox,Illinois,22093.0,40667.0,52496.0,52545.0,21481.0,0.0688290310903594,0,1,0,0,43826.0,4570.0,162.0,509.0,0.0,981.0,951.0,48124.0,2875.0,50999.0,0.8593501833369281,0.08960960018823899,0.0031765328731935922,0.009980587854663816,0.0,0.01923567128767231,0.018647424459303123,0.056373654385380105
1728,Garfield,Nebraska,22092.0,41892.0,49904.0,1947.0,864.0,0.048916225470861815,0,1,0,0,1940.0,4.0,0.0,7.0,0.0,9.0,15.0,1936.0,39.0,1975.0,0.9822784810126582,0.0020253164556962027,0.0,0.0035443037974683543,0.0,0.004556962025316456,0.007594936708860759,0.019746835443037975
1729,Franklin,Maine,22083.0,41626.0,50251.0,30660.0,12098.0,0.048127900712159374,1,0,0,0,28993.0,84.0,119.0,114.0,31.0,62.0,616.0,29633.0,386.0,30019.0,0.9658216462906826,0.002798227789066924,0.003964156034511476,0.0037975948565908257,0.0010326793031080316,0.0020653586062160632,0.020520337119824112,0.0128585229354742
1730,Anderson,South Carolina,22081.0,41579.0,53856.0,188480.0,73296.0,0.05142645076886077,0,0,0,1,156465.0,31052.0,319.0,1813.0,83.0,1856.0,4407.0,188867.0,7128.0,195995.0,0.798311181407689,0.1584326130768642,0.0016275925406260363,0.009250235975407537,0.0004234801908211944,0.009469629327278756,0.022485267481313298,0.036368274700885224
1731,Clay,North Carolina,22081.0,38828.0,46528.0,10599.0,4431.0,0.02143531856186857,0,0,0,1,10464.0,226.0,36.0,20.0,16.0,9.0,42.0,10473.0,340.0,10813.0,0.9677240358827337,0.0209007675945621,0.0033293258115231665,0.0018496254508462036,0.001479700360676963,0.0008323314528807916,0.0038842134467770278,0.03144363266438546
1732,Seneca,Ohio,22075.0,43764.0,54219.0,56376.0,21651.0,0.04473973986584614,0,1,0,0,52041.0,1544.0,170.0,317.0,0.0,375.0,1028.0,52681.0,2794.0,55475.0,0.9380982424515547,0.02783235691753042,0.003064443442992339,0.005714285714285714,0.0,0.0067598017124831005,0.018530869761153673,0.050365029292474085
1733,Marengo,Alabama,22072.0,35079.0,48116.0,20669.0,8464.0,0.05159423732978645,0,0,0,1,8855.0,10518.0,51.0,0.0,0.0,58.0,56.0,19423.0,115.0,19538.0,0.45321936738663116,0.5383355512334937,0.0026102978810523085,0.0,0.0,0.002968574060804586,0.002866209438018221,0.00588596581021599
1734,Trimble,Kentucky,22070.0,49718.0,57174.0,8818.0,3512.0,0.0473878840082524,0,0,0,1,8323.0,0.0,26.0,6.0,45.0,87.0,150.0,8381.0,256.0,8637.0,0.9636447840685424,0.0,0.0030103045038786616,0.0006946856547412296,0.005210142410559222,0.010072941993747829,0.01736714136853074,0.02963992126895913
1735,Furnas,Nebraska,22068.0,39603.0,51458.0,4920.0,2215.0,0.028125869953927612,0,1,0,0,4619.0,7.0,16.0,19.0,3.0,44.0,78.0,4596.0,190.0,4786.0,0.9651065608023401,0.0014625992478061011,0.003343083994985374,0.003969912244045131,0.0006268282490597576,0.00919348098620978,0.0162975344755537,0.03969912244045132
1736,Texas,Oklahoma,22064.0,49901.0,57713.0,21157.0,7180.0,0.08802101375638664,0,0,0,1,13427.0,910.0,147.0,651.0,9.0,5292.0,685.0,11557.0,9564.0,21121.0,0.6357180057762416,0.04308508119880688,0.006959897732114957,0.030822404242223378,0.00042611618768050757,0.25055631835613845,0.03243217650679418,0.45281946877515267
1737,Lincoln,Missouri,22063.0,52835.0,59074.0,53051.0,18714.0,0.03665279655935472,0,1,0,0,52635.0,1061.0,153.0,214.0,15.0,431.0,1054.0,54233.0,1330.0,55563.0,0.9473030613897737,0.019095441210877744,0.0027536310134441983,0.003851483901157245,0.00026996382484747045,0.007756960567283984,0.01896945809261559,0.023936792469809044
1738,Venango,Pennsylvania,22060.0,41977.0,51925.0,54590.0,22547.0,0.034195241361088716,1,0,0,0,50691.0,434.0,12.0,191.0,0.0,131.0,917.0,51809.0,567.0,52376.0,0.9678287765388728,0.008286237971590041,0.00022911257064304262,0.003646708416068428,0.0,0.002501145562853215,0.017508018939972506,0.010825568962883763
1739,Ripley,Indiana,22059.0,47537.0,59022.0,28636.0,10761.0,0.035795310351543305,0,1,0,0,27593.0,144.0,116.0,252.0,0.0,75.0,245.0,27913.0,512.0,28425.0,0.9707299912049252,0.005065963060686016,0.004080914687774846,0.008865435356200527,0.0,0.002638522427440633,0.008619173262972735,0.01801231310466139
1740,White,Georgia,22059.0,40670.0,51282.0,27400.0,11788.0,0.06719343608860992,0,0,0,1,27274.0,417.0,162.0,169.0,1.0,366.0,539.0,28019.0,909.0,28928.0,0.9428235619469026,0.014415099557522125,0.005600110619469027,0.005842090707964602,3.456858407079646e-05,0.012652101769911505,0.018632466814159292,0.03142284292035398
